date,close,open,high,low,volume,Change %
2020-09-22,1096.16,1088.67,1097.51,1084.93,29200000000.0,0.84
2020-09-21,1087.03,1111.82,1115.14,1085.73,32900000000.0,-2.24
2020-09-18,1111.96,1112.68,1115.82,1109.57,26900000000.0,0.12
2020-09-17,1110.66,1105.74,1110.66,1100.27,26600000000.0,0.32
2020-09-16,1107.11,1113.54,1116.57,1104.69,21500000000.0,-0.37
2020-09-15,1111.24,1110.55,1118.7,1096.65,34200000000.0,0.36
2020-09-14,1107.29,1105.31,1110.34,1103.41,30900000000.0,0.42
2020-09-11,1102.7,1100.75,1104.76,1096.79,28400000000.0,0.33
2020-09-10,1099.06,1101.01,1105.98,1093.58,41000000000.0,-0.06
2020-09-09,1099.68,1089.39,1099.81,1087.49,33300000000.0,0.93
2020-09-08,1089.6,1101.56,1102.8,1085.23,23900000000.0,-0.66
2020-09-07,1096.81,1089.54,1097.77,1089.54,22700000000.0,0.97
2020-09-04,1086.32,1075.57,1090.03,1072.8,25900000000.0,0.93
2020-09-03,1076.34,1085.88,1091.11,1074.34,23500000000.0,-0.7
2020-09-02,1083.91,1086.09,1091.3,1079.83,26100000000.0,-0.12
2020-09-01,1085.19,1081.66,1086.29,1064.42,27900000000.0,0.61
2020-08-31,1078.61,1101.78,1102.38,1076.07,29200000000.0,-1.99
